column,embedding_model,accuracy,precision,recall,f1_score
text,mpnet,0.822501747030049,0.8185525742350791,0.822501747030049,0.8180026302204425
text_no_lemma_no_stem_with_stopwords,mpnet,0.8218029350104822,0.8189572207253154,0.8218029350104822,0.8168553567368761
text_lemma_stem_with_stopwords,mpnet,0.8148148148148148,0.8100029350254037,0.8148148148148148,0.8073727091483693
text,distilroberta,0.8106219426974144,0.8072779371363836,0.8106219426974144,0.8030034230271322
text_lemma_no_stem_with_stopwords,mpnet,0.8106219426974144,0.8062355165297221,0.8106219426974144,0.8020695683106408
text_model,3,0.7945492662473794,0.788226623632042,0.7945492662473794,0.7902592909282095
text_lemma_no_stem_with_stopwords_model,3,0.7840670859538784,0.7775463730663023,0.7840670859538784,0.7796229415175304
text_no_lemma_no_stem_with_stopwords_model,3,0.7819706498951782,0.7775628876518871,0.7819706498951782,0.7783305590574457
text_no_lemma_no_stem_with_stopwords,distilroberta,0.7847658979734451,0.7784937094485942,0.7847658979734451,0.7771813615803609
text_no_lemma_stem_with_stopwords,mpnet,0.7840670859538784,0.7774948722206804,0.7840670859538784,0.7758006802654617
text_no_lemma_no_stem_no_stopwords,mpnet,0.782669461914745,0.7755913060107462,0.782669461914745,0.7743538582539102
text_lemma_stem_with_stopwords,distilroberta,0.7861635220125787,0.78044671896182,0.7861635220125787,0.7740541537418715
text_lemma_stem_no_stopwords,mpnet,0.7840670859538784,0.775001255173686,0.7840670859538784,0.7737924065291246
text_lemma_no_stem_with_stopwords,distilroberta,0.7805730258560447,0.772278623957254,0.7805730258560447,0.7736174123527002
text_lemma_no_stem_no_stopwords,mpnet,0.7833682739343116,0.7736147003913415,0.7833682739343116,0.7736150004612177
text_no_lemma_stem_with_stopwords,distilroberta,0.7763801537386443,0.769241185108762,0.7763801537386443,0.7692470628573173
text_lemma_stem_with_stopwords_model,3,0.779874213836478,0.7706408921693466,0.779874213836478,0.7691310778932399
text_no_lemma_no_stem_no_stopwords_model,3,0.7742837176799441,0.763301889505277,0.7742837176799441,0.7648473094261836
text_no_lemma_stem_with_stopwords_model,3,0.7728860936408106,0.7637208851836464,0.7728860936408106,0.7576808132048191
text_lemma_stem_no_stopwords,distilroberta,0.7596086652690426,0.7499582910567077,0.7596086652690426,0.7528052665065538
text_lemma_no_stem_no_stopwords,distilroberta,0.7658979734451432,0.7569705030370901,0.7658979734451432,0.7452760612471738
text_lemma_no_stem_no_stopwords_model,3,0.750524109014675,0.7384136032138833,0.750524109014675,0.7413499769387457
text_no_lemma_no_stem_no_stopwords,distilroberta,0.7540181691125087,0.7410225640705509,0.7540181691125087,0.737470714021392
text_lemma_stem_no_stopwords_model,3,0.7477288609364081,0.7335704037127725,0.7477288609364081,0.7346590343376846
text_no_lemma_stem_no_stopwords,mpnet,0.7456324248777079,0.7305976769785775,0.7456324248777079,0.7299721065388391
text_no_lemma_stem_no_stopwords,distilroberta,0.7477288609364081,0.7308494002562232,0.7477288609364081,0.7249056816590954
text_no_lemma_stem_no_stopwords_model,3,0.7386443046820406,0.7214993194802414,0.7386443046820406,0.718041199511056
