column,embedding_model,accuracy,precision,recall,f1_score
text,mpnet,0.83298392732355,0.8296699250569056,0.83298392732355,0.8304148784180927
text_no_lemma_no_stem_with_stopwords,mpnet,0.8190076869322153,0.8145808812226808,0.8190076869322153,0.8154223145218853
text_lemma_no_stem_with_stopwords,mpnet,0.8204053109713487,0.8164311117073124,0.8204053109713487,0.8140904016411278
text,distilroberta,0.8134171907756813,0.8069640849807398,0.8134171907756813,0.8066374465237498
text_lemma_stem_with_stopwords,mpnet,0.8099231306778477,0.8057043291561636,0.8099231306778477,0.8011113587316896
text_model,3,0.7980433263452131,0.7904910126568971,0.7980433263452131,0.7918791954092979
text_no_lemma_no_stem_no_stopwords,mpnet,0.7875611460517121,0.7825533828447325,0.7875611460517121,0.7813278388314789
text_lemma_stem_with_stopwords,distilroberta,0.7875611460517121,0.7802174365905323,0.7875611460517121,0.7804019416907173
text_lemma_stem_no_stopwords,mpnet,0.7861635220125787,0.7771769789266127,0.7861635220125787,0.7777090475941001
text_no_lemma_no_stem_with_stopwords,distilroberta,0.7847658979734451,0.7789083388146506,0.7847658979734451,0.777361209759882
text_no_lemma_no_stem_with_stopwords_model,3,0.7833682739343116,0.774260867395387,0.7833682739343116,0.7741545490563452
text_no_lemma_stem_with_stopwords,mpnet,0.7812718378756115,0.7728736044936435,0.7812718378756115,0.7737649763989817
text_lemma_stem_with_stopwords_model,3,0.7784765897973445,0.7702335629070706,0.7784765897973445,0.7710502202555723
text_lemma_no_stem_with_stopwords,distilroberta,0.7791754018169113,0.7751855443094318,0.7791754018169113,0.7663932929997742
text_lemma_no_stem_no_stopwords,mpnet,0.7763801537386443,0.7667261058499402,0.7763801537386443,0.7657774491840391
text_lemma_no_stem_with_stopwords_model,3,0.7756813417190775,0.7655843861604711,0.7756813417190775,0.7647418906062646
text_no_lemma_stem_with_stopwords,distilroberta,0.7721872816212438,0.7651915474098021,0.7721872816212438,0.7584081432707378
text_no_lemma_no_stem_no_stopwords,distilroberta,0.7679944095038435,0.755787447884894,0.7679944095038435,0.7571704938310716
text_no_lemma_no_stem_no_stopwords_model,3,0.7700908455625437,0.7577344468877084,0.7700908455625437,0.7564383742612031
text_no_lemma_stem_with_stopwords_model,3,0.7679944095038435,0.7573639885723682,0.7679944095038435,0.756390478566935
text_lemma_stem_no_stopwords,distilroberta,0.7610062893081762,0.7503270519129123,0.7610062893081762,0.7528979701778029
text_lemma_no_stem_no_stopwords,distilroberta,0.7693920335429769,0.7588464586380446,0.7693920335429769,0.7525807747332632
text_lemma_stem_no_stopwords_model,3,0.750524109014675,0.7366293908682123,0.750524109014675,0.7388566697196469
text_no_lemma_stem_no_stopwords,mpnet,0.7512229210342418,0.7378370776320047,0.7512229210342418,0.7365470780527874
text_lemma_no_stem_no_stopwords_model,3,0.7491264849755416,0.7364829989456453,0.7491264849755416,0.7276829777516709
text_no_lemma_stem_no_stopwords,distilroberta,0.7463312368972747,0.729622958272958,0.7463312368972747,0.7235490271645956
text_no_lemma_stem_no_stopwords_model,3,0.7407407407407407,0.7256817724427115,0.7407407407407407,0.7186630757858508
