column,embedding_model,accuracy,precision,recall,f1_score
text,mpnet,0.8322851153039832,0.8286112742236001,0.8322851153039832,0.8264918836388983
text_no_lemma_no_stem_with_stopwords,mpnet,0.822501747030049,0.81872880032093,0.822501747030049,0.815369657616046
text_lemma_no_stem_with_stopwords,mpnet,0.8197064989517819,0.8154858769295876,0.8197064989517819,0.8125426454006679
text_lemma_stem_with_stopwords,mpnet,0.8197064989517819,0.8154858769295876,0.8197064989517819,0.8125426454006679
text,distilroberta,0.8120195667365478,0.8063800846803524,0.8120195667365478,0.8025119014415671
text_model,3,0.7966457023060797,0.7886715453486247,0.7966457023060797,0.7850390234787217
text_no_lemma_no_stem_with_stopwords_model,3,0.7924528301886793,0.7845937944542731,0.7924528301886793,0.7825628078659124
text_no_lemma_no_stem_no_stopwords,mpnet,0.7882599580712788,0.779698623012815,0.7882599580712788,0.7774213330126546
text_no_lemma_no_stem_with_stopwords,distilroberta,0.7882599580712788,0.780712228943053,0.7882599580712788,0.7772862466648076
text_lemma_stem_no_stopwords,mpnet,0.7875611460517121,0.7790547004195268,0.7875611460517121,0.7768349329346862
text_lemma_no_stem_no_stopwords,mpnet,0.7875611460517121,0.7790547004195268,0.7875611460517121,0.7768349329346862
text_lemma_stem_with_stopwords_model,3,0.7805730258560447,0.7709834199794908,0.7805730258560447,0.7690737516654784
text_lemma_no_stem_with_stopwords_model,3,0.7805730258560447,0.7709834199794908,0.7805730258560447,0.7690737516654784
text_lemma_no_stem_with_stopwords,distilroberta,0.7805730258560447,0.7722512311173105,0.7805730258560447,0.7678176903352174
text_lemma_stem_with_stopwords,distilroberta,0.7805730258560447,0.7722512311173105,0.7805730258560447,0.7678176903352174
text_no_lemma_stem_with_stopwords,mpnet,0.7777777777777778,0.7685619123165421,0.7777777777777778,0.7645210452390386
text_no_lemma_stem_with_stopwords,distilroberta,0.7777777777777778,0.7714460610865213,0.7777777777777778,0.7629658377645429
text_no_lemma_no_stem_no_stopwords_model,3,0.7742837176799441,0.7626832112102031,0.7742837176799441,0.7587236532358295
text_lemma_no_stem_no_stopwords,distilroberta,0.7728860936408106,0.7624853697542564,0.7728860936408106,0.7575741535668392
text_lemma_stem_no_stopwords,distilroberta,0.7728860936408106,0.7624853697542564,0.7728860936408106,0.7575741535668392
text_no_lemma_stem_with_stopwords_model,3,0.7693920335429769,0.7594687344187057,0.7693920335429769,0.7530952656460007
text_no_lemma_no_stem_no_stopwords,distilroberta,0.7658979734451432,0.7533855419010214,0.7658979734451432,0.7493463126487871
text_no_lemma_stem_no_stopwords,mpnet,0.756114605171209,0.7415942500948559,0.756114605171209,0.7374331546818654
text_lemma_no_stem_no_stopwords_model,3,0.7519217330538085,0.73715611590723,0.7519217330538085,0.7327436743568624
text_lemma_stem_no_stopwords_model,3,0.7519217330538085,0.73715611590723,0.7519217330538085,0.7327436743568624
text_no_lemma_stem_no_stopwords,distilroberta,0.7498252969951084,0.7337249567747269,0.7498252969951084,0.726071121224738
text_no_lemma_stem_no_stopwords_model,3,0.740041928721174,0.7228763857884113,0.740041928721174,0.7165247810362163
